; #
; # NRLEUV Quiet Sun Irradiances from 50-1200 A
; # File generated: Thu Jun 24 12:29:02 2004   by  Harry Warren, NRL
; #
; # Wavelengths are in angstroms.
; # Irradiances are in photons/cm^2/sec.
; #
; # Wavelength bins are centered, i.e., 50.5 corresponds
; # to wavelengths greater or equal to 50 A and less
; # than 51 A.
; # 
; # WAVELENGTH IRRADIANCE
 1200 lines  :  NRLEUV Version 2 Quiet Sun irradiance
    2 columns :  wavelength (Angstroms), irradiance (photons/cm^2/sec)
     799.5   2.819e+07
     800.5   2.904e+07
     801.5   3.812e+07
     802.5   3.044e+07
     803.5   3.047e+07
     804.5   3.109e+07
     805.5   3.154e+07
     806.5   3.215e+07
     807.5   3.276e+07
     808.5   3.338e+07
     809.5   4.117e+07
     810.5   3.466e+07
     811.5   3.619e+07
     812.5   3.600e+07
     813.5   3.673e+07
     814.5   3.738e+07
     815.5   5.328e+07
     816.5   3.887e+07
     817.5   3.989e+07
     818.5   5.027e+07
     819.5   4.110e+07
     820.5   4.656e+07
     821.5   4.393e+07
     822.5   5.461e+07
     823.5   4.430e+07
     824.5   4.697e+07
     825.5   4.599e+07
     826.5   4.870e+07
     827.5   4.777e+07
     828.5   4.875e+07
     829.5   4.959e+07
     830.5   5.053e+07
     831.5   5.149e+07
     832.5   3.076e+08
     833.5   6.671e+08
     834.5   5.540e+08
     835.5   5.359e+08
     836.5   6.354e+07
     837.5   6.207e+07
     838.5   5.891e+07
     839.5   5.986e+07
     840.5   6.245e+07
     841.5   6.217e+07
     842.5   6.341e+07
     843.5   6.668e+07
     844.5   6.580e+07
     845.5   6.712e+07
     846.5   6.829e+07
     847.5   6.977e+07
     848.5   7.091e+07
     849.5   7.607e+07
     850.5   7.815e+07
     851.5   7.513e+07
     852.5   7.952e+07
     853.5   7.873e+07
     854.5   8.460e+07
     855.5   8.092e+07
     856.5   8.248e+07
     857.5   8.402e+07
     858.5   3.310e+08
     859.5   8.724e+07
     860.5   9.036e+07
     861.5   9.060e+07
     862.5   9.225e+07
     863.5   9.400e+07
     864.5   9.580e+07
     865.5   9.760e+07
     866.5   9.945e+07
     867.5   1.014e+08
     868.5   1.082e+08
     869.5   1.052e+08
     870.5   1.072e+08
