 1240 lines : MEGS A2 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A2-Primary Filter (92 Al/ 24 Ge/ 32 C),  A2-Second Order Filter (170 Al/ 283 Mg/ 19 C)
      70.3500   0.00641470    0.0246169
      70.4500   0.00634036    0.0244030
      70.5500   0.00626602    0.0241891
      70.6500   0.00619168    0.0239752
      70.7500   0.00611734    0.0237613
      70.8500   0.00605586    0.0235711
      70.9500   0.00599972    0.0233908
      71.0500   0.00594358    0.0232106
      71.1500   0.00588745    0.0230303
      71.2500   0.00583131    0.0228500
      71.3500   0.00577517    0.0226697
      71.4500   0.00571904    0.0224894
      71.5500   0.00566290    0.0223091
      71.6500   0.00560676    0.0221289
      71.7500   0.00555062    0.0219486
      71.8500   0.00549449    0.0217683
      71.9500   0.00543835    0.0215880
      72.0500   0.00538221    0.0214077
      72.1500   0.00532608    0.0212275
      72.2500   0.00526994    0.0210472
      72.3500   0.00521380    0.0208669
      72.4500   0.00515766    0.0206866
      72.5500   0.00510153    0.0205063
      72.6500   0.00504539    0.0203260
      72.7500   0.00499349    0.0201502
      72.8500   0.00494532    0.0199783
      72.9500   0.00489715    0.0198063
      73.0500   0.00484898    0.0196344
      73.1500   0.00480081    0.0194624
      73.2500   0.00475265    0.0192905
      73.3500   0.00470448    0.0191186
      73.4500   0.00465631    0.0189466
      73.5500   0.00460814    0.0187747
      73.6500   0.00455998    0.0186027
      73.7500   0.00451181    0.0184308
      73.8500   0.00446364    0.0182589
      73.9500   0.00441547    0.0180869
      74.0500   0.00436730    0.0179150
      74.1500   0.00431914    0.0177430
      74.2500   0.00427097    0.0175711
      74.3500   0.00422280    0.0173992
      74.4500   0.00417463    0.0172272
      74.5500   0.00412647    0.0170553
      74.6500   0.00407830    0.0168834
      74.7500   0.00403502    0.0167173
      74.8500   0.00399245    0.0165521
      74.9500   0.00394988    0.0163868
      75.0500   0.00390731    0.0162216
      75.1500   0.00386474    0.0160564
      75.2500   0.00382217    0.0158912
      75.3500   0.00377960    0.0157260
      75.4500   0.00373703    0.0155607
      75.5500   0.00369446    0.0153955
      75.6500   0.00365189    0.0152303
      75.7500   0.00360932    0.0150651
      75.8500   0.00356675    0.0148999
      75.9500   0.00352418    0.0147346
      76.0500   0.00348161    0.0145694
      76.1500   0.00343904    0.0144042
      76.2500   0.00339647    0.0142390
      76.3500   0.00335390    0.0140738
      76.4500   0.00331133    0.0139085
      76.5500   0.00326876    0.0137433
      76.6500   0.00322619    0.0135781
      76.7500   0.00319436    0.0134367
      76.8500   0.00316732    0.0133059
      76.9500   0.00314028    0.0131751
      77.0500   0.00311323    0.0130443
      77.1500   0.00308619    0.0129135
      77.2500   0.00305915    0.0127827
      77.3500   0.00303211    0.0126519
      77.4500   0.00300507    0.0125211
      77.5500   0.00297803    0.0123903
      77.6500   0.00295099    0.0122596
      77.7500   0.00292395    0.0121288
      77.8500   0.00289691    0.0119980
      77.9500   0.00286987    0.0118672
      78.0500   0.00284283    0.0117364
      78.1500   0.00281579    0.0116056
      78.2500   0.00278875    0.0114748
      78.3500   0.00276171    0.0113440
      78.4500   0.00273467    0.0112132
      78.5500   0.00270763    0.0110824
      78.6500   0.00268059    0.0109516
      78.7500   0.00265355    0.0108208
      78.8500   0.00261163    0.0105894
      78.9500   0.00256875    0.0103513
      79.0500   0.00252586    0.0101133
      79.1500   0.00248297   0.00987529
      79.2500   0.00244009   0.00963727
      79.3500   0.00239720   0.00939924
      79.4500   0.00235432   0.00916122
      79.5500   0.00231143   0.00892320
      79.6500   0.00226855   0.00868517
