 1240 lines : MEGS B CCD responsivity
 2 columns : Wavelength (nm),  Responsivity (electrons/photon) [no filter]
      91.2500     0.828298
      91.3500     0.826600
      91.4500     0.824903
      91.5500     0.823205
      91.6500     0.821507
      91.7500     0.819810
      91.8500     0.818112
      91.9500     0.816414
      92.0500     0.814717
      92.1500     0.813019
      92.2500     0.811321
      92.3500     0.809623
      92.4500     0.807888
      92.5500     0.805979
      92.6500     0.804071
      92.7500     0.802162
      92.8500     0.800253
      92.9500     0.798344
      93.0500     0.796435
      93.1500     0.794527
      93.2500     0.792618
      93.3500     0.790709
      93.4500     0.788800
      93.5500     0.786891
      93.6500     0.784983
      93.7500     0.783074
      93.8500     0.781165
      93.9500     0.779256
      94.0500     0.777348
      94.1500     0.775439
      94.2500     0.773530
      94.3500     0.771621
      94.4500     0.769712
      94.5500     0.767804
      94.6500     0.765895
      94.7500     0.763986
      94.8500     0.762077
      94.9500     0.760190
      95.0500     0.758393
      95.1500     0.756596
      95.2500     0.754799
      95.3500     0.753002
      95.4500     0.751206
      95.5500     0.749409
      95.6500     0.747612
      95.7500     0.745815
      95.8500     0.744018
      95.9500     0.742221
      96.0500     0.740424
      96.1500     0.738627
      96.2500     0.736830
      96.3500     0.735033
      96.4500     0.733236
      96.5500     0.731439
      96.6500     0.729642
      96.7500     0.727845
      96.8500     0.726048
      96.9500     0.724252
      97.0500     0.722455
      97.1500     0.720658
      97.2500     0.718861
      97.3500     0.717064
      97.4500     0.715267
      97.5500     0.713572
      97.6500     0.711974
      97.7500     0.710377
      97.8500     0.708780
      97.9500     0.707182
      98.0500     0.705585
      98.1500     0.703988
      98.2500     0.702391
      98.3500     0.700793
      98.4500     0.699196
      98.5500     0.697599
      98.6500     0.696001
      98.7500     0.694404
      98.8500     0.692807
      98.9500     0.691209
      99.0500     0.689612
      99.1500     0.688015
      99.2500     0.686417
      99.3500     0.684820
      99.4500     0.683223
      99.5500     0.681625
      99.6500     0.680028
      99.7500     0.678431
      99.8500     0.676834
      99.9500     0.675236
      100.050     0.673639
      100.150     0.672075
      100.250     0.670741
      100.350     0.669407
      100.450     0.668074
      100.550     0.666740
      100.650     0.665406
      100.750     0.664072
      100.850     0.662738
      100.950     0.661405
      101.050     0.660071
      101.150     0.658737
      101.250     0.657403
      101.350     0.656069
      101.450     0.654736
      101.550     0.653402
      101.650     0.652068
      101.750     0.650734
      101.850     0.649400
      101.950     0.648067
      102.050     0.646733
      102.150     0.645399
      102.250     0.644065
      102.350     0.642731
      102.450     0.641397
      102.550     0.640064
      102.650     0.638730
      102.750     0.637396
      102.850     0.636134
      102.950     0.636409
      103.050     0.636684
      103.150     0.636959
      103.250     0.637234
      103.350     0.637509
      103.450     0.637784
      103.550     0.638059
      103.650     0.638334
