 ;  
 ;	Ran mewe_spec.pro for Temperature of 0.5 MK and 1-20 MK on 1 MK steps
 ;		and wavelength range from 0-300 Angstroms on 0.1 Angstrom grid
 ;  Then took weighted averages over all temperatures appropriate for solar min. and solar max. 
 ;		with scaling to Woods & Rottman solar reference spectrum at 200 Angstroms
 ;
 ;	Tom Woods,  5/29/04
 ;
 3000 lines : Mewe solar spectra at 0.5 MK and 1-20 MK on 1 MK steps weighted for solar min & max
 3 columns : wavelength (Angstroms), solar min and max spectra in units of photons/cm^2/second
      55.2500  4.58509e+06  1.17599e+07
      55.3500  2.70984e+07  6.82392e+07
      55.4500      228740.      806601.
      55.5500      228949.      806844.
      55.6500      229158.      807088.
      55.7500      229361.      807316.
      55.8500      229573.      807573.
      55.9500      344476.  1.15062e+06
      56.0500      229987.      808051.
      56.1500  1.74128e+06  5.40808e+06
      56.2500      230395.      808512.
      56.3500      230605.      808764.
      56.4500      230810.      808998.
      56.5500      231016.      809233.
      56.6500      231220.      809466.
      56.7500      231421.      809686.
      56.8500      231628.      809931.
      56.9500      231831.      810732.
      57.0500      223542.      775236.
      57.1500      223742.      775460.
      57.2500      223936.      775668.
      57.3500      224139.      775906.
      57.4500      224338.      776128.
      57.5500      237001.      849254.
      57.6500      224735.      776573.
      57.7500      224927.      776778.
      57.8500  5.02346e+06  1.44213e+07
      57.9500  2.64635e+06  7.68671e+06
      58.0500      225524.      777451.
      58.1500  3.17025e+06  8.15113e+06
      58.2500      225914.      777874.
      58.3500      226115.      778106.
      58.4500      226312.      778326.
      58.5500      226508.      778542.
      58.6500      226705.      778759.
      58.7500      226897.      778961.
      58.8500      227097.      779192.
      58.9500  4.20112e+06  1.26804e+07
      59.0500  3.71077e+06  9.40325e+06
      59.1500      227684.      779839.
      59.2500      227875.      780039.
      59.3500      228076.      780270.
      59.4500      228271.      780485.
      59.5500      228466.      780700.
      59.6500  4.43553e+06  1.33804e+07
      59.7500      228853.      781113.
      59.8500      229053.      781344.
      59.9500      230685.      913444.
      60.0500      229443.      781772.
      60.1500      229638.      781986.
      60.2500      299572.      991694.
      60.3500      230028.      782413.
      60.4500      230223.      782627.
      60.5500      382066.  1.23358e+06
      60.6500  1.11418e+07  2.21588e+07
      60.7500  3.13468e+06  7.03329e+06
      60.8500  4.96182e+06  1.02158e+07
      60.9500      238577.      806994.
      61.0500  3.31621e+07  8.21511e+07
      61.1500      231588.      784124.
      61.2500      231778.      784322.
      61.3500      231977.      784552.
      61.4500      232172.      784764.
      61.5500  2.04399e+06  4.77533e+06
      61.6500      232562.      785193.
      61.7500      232752.      785390.
      61.8500  1.60341e+07  4.04112e+07
      61.9500  5.64362e+06  1.43172e+07
      62.0500      233342.      786049.
      62.1500      233537.      786262.
      62.2500      233728.      786464.
      62.3500  8.31729e+06  2.48088e+07
      62.4500      234122.      786908.
      62.5500      234318.      787123.
      62.6500      234513.      787338.
      62.7500  1.36481e+07  3.45884e+07
      62.8500  2.17437e+06  7.92263e+06
      62.9500      235100.      787986.
      63.0500      235295.      788201.
      63.1500  3.84586e+06  1.11765e+07
      63.2500  7.40538e+06  2.13380e+07
      63.3500  2.10986e+06  5.74823e+06
      63.4500      543613.  1.64866e+06
      63.5500      236275.      789285.
      63.6500      236471.      789502.
      63.7500  5.04414e+06  1.84869e+07
      63.8500      236863.      789937.
      63.9500      237064.      790172.
      64.0500      237256.      790375.
      64.1500      237457.      790609.
      64.2500      237654.      790830.
      64.3500      237842.      791019.
      64.4500      238038.      791238.
      64.5500      238235.      791458.
      64.6500      238442.      791709.
      64.7500      238638.      791928.
      64.8500      238827.      792120.
      64.9500      239024.      792341.
      65.0500      239222.      792562.
      65.1500      239442.      805020.
      65.2500      239626.      793037.
      65.3500      239815.      793228.
      65.4500      240013.      793452.
      65.5500      240211.      793676.
      65.6500  3.02054e+06  8.80090e+06
      65.7500      240616.      794152.
      65.8500  4.15729e+06  1.17661e+07
      65.9500      241004.      794571.
      66.0500  1.81591e+06  5.21354e+06
      66.1500      241411.      795052.
      66.2500  1.55703e+06  5.72393e+06
      66.3500  1.65337e+06  6.08245e+06
      66.4500      241999.      795700.
      66.5500      242198.      795927.
      66.6500      242406.      796184.
      66.7500      242606.      796412.
      66.8500      242797.      796611.
      66.9500      917364.  2.81226e+06
      67.0500      243197.      797068.
      67.1500  4.22400e+06  1.07615e+07
      67.2500  4.31104e+06  1.09782e+07
      67.3500  2.76802e+06  7.04423e+06
      67.4500      243998.      797986.
      67.5500      244198.      798217.
      67.6500      244409.      798480.
      67.7500      244610.      798711.
      67.8500      244801.      798912.
      67.9500      245002.      799143.
      68.0500      245203.      799376.
      68.1500  3.33697e+06  7.53002e+06
      68.2500      245616.      799875.
      68.3500      245808.      800078.
